Ticker,Date,Open,High,Low,Close,Volume,Month,Quarter,Year
IMP,2018-01-02,36.66,37.23,36.66,37.23,4770,1,1,2018
IMP,2018-01-03,37.62,37.62,36.95,37.51,41890,1,1,2018
IMP,2018-01-04,37.51,37.62,37.51,37.51,29740,1,1,2018
IMP,2018-01-05,37.51,37.57,37.23,37.23,9630,1,1,2018
IMP,2018-01-08,36.95,37.4,36.95,37.4,5110,1,1,2018
IMP,2018-01-09,37.4,37.45,37.23,37.34,21060,1,1,2018
IMP,2018-01-10,37.34,37.8,37.34,37.68,34110,1,1,2018
IMP,2018-01-11,37.68,37.68,37.34,37.51,12710,1,1,2018
IMP,2018-01-12,37.51,37.8,37.34,37.51,31050,1,1,2018
IMP,2018-01-15,37.62,38.88,37.51,38.88,28510,1,1,2018
IMP,2018-01-16,38.53,39.16,38.08,38.53,7820,1,1,2018
IMP,2018-01-17,38.08,38.36,38.08,38.08,1210,1,1,2018
IMP,2018-01-18,38.08,38.08,37.23,38.08,9360,1,1,2018
IMP,2018-01-19,38.31,38.31,38.08,38.19,19910,1,1,2018
IMP,2018-01-22,37.28,38.08,36.95,37.17,25060,1,1,2018
IMP,2018-01-25,37.51,37.51,36.6,36.6,62660,1,1,2018
IMP,2018-01-26,36.6,37.23,36.6,37.23,8400,1,1,2018
IMP,2018-01-29,36.95,37.23,36.43,36.95,25830,1,1,2018
IMP,2018-01-30,35.13,36.95,35.13,36.71,42780,1,1,2018
IMP,2018-01-31,36.95,36.95,35.24,36.66,28190,1,1,2018
IMP,2018-02-01,36.95,36.95,36.37,36.89,6860,2,1,2018
IMP,2018-02-02,36.37,36.37,36.09,36.37,13890,2,1,2018
IMP,2018-02-05,35.81,36.09,35.24,35.24,9350,2,1,2018
IMP,2018-02-06,35.24,35.24,33.53,34.9,31900,2,1,2018
IMP,2018-02-07,36.37,36.37,35.81,35.81,11980,2,1,2018
IMP,2018-02-08,34.96,35.69,34.96,35.18,13580,2,1,2018
IMP,2018-02-09,33.25,35.35,33.25,34.96,6570,2,1,2018
IMP,2018-02-12,35.81,35.81,35.24,35.58,11190,2,1,2018
IMP,2018-02-13,35.58,35.81,35.58,35.81,14050,2,1,2018
IMP,2018-02-21,35.52,35.81,35.52,35.81,22970,2,1,2018
IMP,2018-02-22,35.81,36.09,35.81,35.81,18430,2,1,2018
IMP,2018-02-23,36.2,36.2,35.58,35.58,9020,2,1,2018
IMP,2018-02-26,35.58,35.58,35.13,35.24,53980,2,1,2018
IMP,2018-02-27,35.24,36.09,34.67,36.09,37640,2,1,2018
IMP,2018-02-28,36.04,36.04,35.18,36.04,22290,2,1,2018
IMP,2018-03-01,36.04,36.37,35.81,36.32,9830,3,1,2018
IMP,2018-03-02,36.32,36.32,36.09,36.26,8920,3,1,2018
IMP,2018-03-05,36.54,36.54,36.09,36.09,20640,3,1,2018
IMP,2018-03-06,36.2,36.2,36.09,36.2,22920,3,1,2018
IMP,2018-03-07,36.2,36.2,35.92,36.09,29360,3,1,2018
IMP,2018-03-08,36.09,36.09,36.09,36.09,15130,3,1,2018
IMP,2018-03-09,36.09,36.09,36.04,36.04,17210,3,1,2018
IMP,2018-03-12,35.87,36.09,35.52,36.09,17410,3,1,2018
IMP,2018-03-13,35.81,35.81,35.81,35.81,12500,3,1,2018
IMP,2018-03-14,35.24,35.87,35.24,35.81,11460,3,1,2018
IMP,2018-03-15,35.81,36.09,35.52,35.58,7410,3,1,2018
IMP,2018-03-16,35.92,36.09,35.81,36.09,11000,3,1,2018
IMP,2018-03-19,36.37,36.37,35.81,35.81,11910,3,1,2018
IMP,2018-03-20,35.81,36.09,35.81,36.04,4400,3,1,2018
IMP,2018-03-21,36.54,36.54,36.04,36.04,21330,3,1,2018
IMP,2018-03-22,36.2,36.2,36.04,36.09,6790,3,1,2018
IMP,2018-03-23,35.52,36.32,35.52,36.26,2760,3,1,2018
IMP,2018-03-26,36.09,36.26,36.09,36.09,11630,3,1,2018
IMP,2018-03-27,35.81,36.15,35.81,36.09,27500,3,1,2018
IMP,2018-03-28,35.69,35.81,35.63,35.81,6050,3,1,2018
IMP,2018-03-29,36.09,36.09,35.81,35.81,8280,3,1,2018
IMP,2018-03-30,35.81,35.81,35.81,35.81,2210,3,1,2018
IMP,2018-04-02,35.81,36.26,35.63,35.81,14690,4,2,2018
IMP,2018-04-03,35.81,35.87,35.81,35.81,16900,4,2,2018
IMP,2018-04-04,36.09,36.09,35.98,35.98,1190,4,2,2018
IMP,2018-04-05,36.09,36.09,35.69,35.69,4550,4,2,2018
IMP,2018-04-06,35.81,36.04,35.75,35.81,2910,4,2,2018
IMP,2018-04-09,36.09,36.09,35.81,36.09,40620,4,2,2018
IMP,2018-04-10,36.09,36.09,35.58,35.58,29130,4,2,2018
IMP,2018-04-11,35.81,35.87,35.58,35.81,8520,4,2,2018
IMP,2018-04-12,36.37,36.37,35.29,35.75,29440,4,2,2018
IMP,2018-04-13,36.95,36.95,35.75,35.75,11880,4,2,2018
IMP,2018-04-16,36.09,36.09,35.75,35.75,3460,4,2,2018
IMP,2018-04-17,35.75,36.09,35.75,35.75,10610,4,2,2018
IMP,2018-04-18,35.52,35.81,35.52,35.52,6310,4,2,2018
IMP,2018-04-19,35.52,35.81,35.52,35.75,3870,4,2,2018
IMP,2018-04-20,35.81,35.81,35.58,35.81,1580,4,2,2018
IMP,2018-04-23,35.98,36.09,35.75,35.81,16810,4,2,2018
IMP,2018-04-24,35.41,35.81,35.24,35.24,20870,4,2,2018
IMP,2018-04-26,35.69,35.69,34.73,34.73,8760,4,2,2018
IMP,2018-04-27,34.67,35.75,34.67,35.75,3030,4,2,2018
IMP,2018-05-02,35.24,35.81,34.73,35.24,7190,5,2,2018
IMP,2018-05-03,35.24,35.24,34.67,34.79,35050,5,2,2018
IMP,2018-05-04,35.81,35.81,34.96,35.01,22730,5,2,2018
IMP,2018-05-07,35.63,35.69,35.01,35.01,16530,5,2,2018
IMP,2018-05-08,35.01,35.63,34.96,35.01,71030,5,2,2018
IMP,2018-05-09,35.24,35.24,34.96,34.96,64520,5,2,2018
IMP,2018-05-10,34.96,35.24,34.96,34.96,41560,5,2,2018
IMP,2018-05-11,35.24,35.24,34.96,34.96,4110,5,2,2018
IMP,2018-05-14,35.24,35.63,35.24,35.58,23100,5,2,2018
IMP,2018-05-15,35.58,35.58,35.58,35.58,30,5,2,2018
IMP,2018-05-16,35.52,35.52,34.96,35.52,1360,5,2,2018
IMP,2018-05-17,35.24,35.58,34.96,35.01,30480,5,2,2018
IMP,2018-05-18,35.01,35.63,34.79,35.63,5530,5,2,2018
IMP,2018-05-21,35.58,35.58,34.96,34.96,4130,5,2,2018
IMP,2018-05-22,35.63,35.63,34.79,35.52,18210,5,2,2018
IMP,2018-05-23,35.52,35.52,34.67,34.67,9590,5,2,2018
IMP,2018-05-24,34.96,34.96,34.67,34.67,6380,5,2,2018
IMP,2018-05-25,34.96,34.96,34.67,34.67,810,5,2,2018
IMP,2018-05-28,34.9,34.9,32.28,32.28,27220,5,2,2018
IMP,2018-05-29,32.28,34.5,30.12,34.5,1443440,5,2,2018
IMP,2018-05-30,34.1,34.5,33.08,33.08,2670,5,2,2018
IMP,2018-05-31,33.08,34.67,33.08,34.67,9970,5,2,2018
IMP,2018-06-01,34.55,34.67,34.1,34.21,2920,6,2,2018
IMP,2018-06-04,35.98,35.98,35.07,35.33,3920,6,2,2018
IMP,2018-06-05,37.61,37.61,36.31,36.31,6440,6,2,2018
IMP,2018-06-06,36.31,36.31,36.31,36.31,2890,6,2,2018
IMP,2018-06-07,36.31,36.64,36.05,36.05,11510,6,2,2018
IMP,2018-06-08,35.91,35.91,35.85,35.91,7300,6,2,2018
IMP,2018-06-11,35.65,35.98,35.65,35.98,17510,6,2,2018
IMP,2018-06-12,34.35,34.74,34.35,34.67,2600,6,2,2018
IMP,2018-06-13,35.33,35.65,35.33,35.33,3750,6,2,2018
IMP,2018-06-14,36.64,36.64,35.33,35.33,2440,6,2,2018
IMP,2018-06-15,35.33,35.33,34.81,35.0,600,6,2,2018
IMP,2018-06-18,33.69,35.33,33.69,34.61,28410,6,2,2018
IMP,2018-06-19,34.35,35.98,33.62,34.67,26080,6,2,2018
IMP,2018-06-20,35.52,35.52,34.61,34.61,430,6,2,2018
IMP,2018-06-21,34.15,36.64,33.56,35.2,28900,6,2,2018
IMP,2018-06-22,33.89,34.67,33.89,34.02,1340,6,2,2018
IMP,2018-06-25,34.74,34.74,34.67,34.67,110,6,2,2018
IMP,2018-06-26,34.61,34.67,34.02,34.67,9070,6,2,2018
IMP,2018-06-27,35.0,35.0,34.41,34.41,7780,6,2,2018
IMP,2018-06-28,34.67,34.67,32.38,32.38,3510,6,2,2018
IMP,2018-06-29,32.78,34.35,32.68,34.35,18340,6,2,2018
IMP,2019-01-02,39.84,39.84,38.93,39.26,6540,1,1,2019
IMP,2019-01-03,38.34,39.06,37.94,39.06,7520,1,1,2019
IMP,2019-01-04,39.06,39.06,37.1,37.94,25560,1,1,2019
IMP,2019-01-07,36.64,37.94,35.65,37.94,7040,1,1,2019
IMP,2019-01-08,35.65,37.94,35.65,37.94,16630,1,1,2019
IMP,2019-01-09,35.98,37.29,35.4,37.29,11000,1,1,2019
IMP,2019-01-10,35.52,35.65,35.33,35.33,3050,1,1,2019
IMP,2019-01-11,35.33,35.4,34.74,34.74,5190,1,1,2019
IMP,2019-01-14,34.81,34.87,33.36,34.67,12160,1,1,2019
IMP,2019-01-15,34.67,34.67,33.11,33.43,11690,1,1,2019
IMP,2019-01-16,33.43,34.02,32.78,33.56,11280,1,1,2019
IMP,2019-01-17,32.98,32.98,32.98,32.98,3000,1,1,2019
IMP,2019-01-18,32.98,33.95,32.71,33.95,9150,1,1,2019
IMP,2019-01-21,33.36,33.36,32.58,32.65,7530,1,1,2019
IMP,2019-01-22,32.84,32.84,32.65,32.71,2550,1,1,2019
IMP,2019-01-23,33.95,35.0,32.58,32.71,5510,1,1,2019
IMP,2019-01-24,32.71,32.71,32.65,32.65,8810,1,1,2019
IMP,2019-01-25,32.71,32.71,32.58,32.58,1230,1,1,2019
IMP,2019-01-28,32.58,32.71,32.58,32.71,1730,1,1,2019
IMP,2019-01-29,33.24,33.24,32.54,32.71,1260,1,1,2019
IMP,2019-01-30,32.78,32.78,32.68,32.71,7330,1,1,2019
IMP,2019-01-31,32.71,32.71,32.65,32.65,1620,1,1,2019
IMP,2019-02-01,32.61,33.04,32.58,33.04,240,2,1,2019
IMP,2019-02-11,33.04,33.11,33.04,33.04,2400,2,1,2019
IMP,2019-02-12,33.04,33.11,32.71,32.71,8250,2,1,2019
IMP,2019-02-13,32.38,32.78,32.38,32.71,2890,2,1,2019
IMP,2019-02-14,32.71,32.78,32.52,32.58,4390,2,1,2019
IMP,2019-02-15,32.71,32.71,32.58,32.58,670,2,1,2019
IMP,2019-02-18,33.04,33.04,32.58,32.71,6620,2,1,2019
IMP,2019-02-19,33.36,34.02,32.71,32.71,26750,2,1,2019
IMP,2019-02-20,32.78,32.78,32.65,32.65,14910,2,1,2019
IMP,2019-02-21,33.29,33.29,32.65,32.65,9420,2,1,2019
IMP,2019-02-22,32.65,33.29,32.65,32.71,12240,2,1,2019
IMP,2019-02-25,32.71,33.11,32.58,32.71,12000,2,1,2019
IMP,2019-02-26,32.06,33.04,31.99,32.06,22620,2,1,2019
IMP,2019-02-27,32.35,32.52,31.92,32.52,2520,2,1,2019
IMP,2019-02-28,32.71,32.71,32.52,32.52,2090,2,1,2019
IMP,2019-03-01,32.52,33.95,32.45,33.95,8190,3,1,2019
IMP,2019-03-04,33.95,33.95,33.11,33.11,25180,3,1,2019
IMP,2019-03-05,33.29,33.62,32.91,33.62,25580,3,1,2019
IMP,2019-03-06,33.62,33.89,32.91,33.36,12960,3,1,2019
IMP,2019-03-07,33.36,33.56,32.91,32.91,34050,3,1,2019
IMP,2019-03-08,33.04,33.29,32.84,32.98,54340,3,1,2019
IMP,2019-03-11,33.11,33.11,32.78,32.84,20350,3,1,2019
IMP,2019-03-12,32.98,33.17,32.84,32.84,25540,3,1,2019
IMP,2019-03-13,32.78,34.02,32.71,33.17,115010,3,1,2019
IMP,2019-03-14,33.82,34.61,33.36,34.35,25350,3,1,2019
IMP,2019-03-15,34.35,34.48,34.02,34.35,18690,3,1,2019
IMP,2019-03-18,34.35,34.35,33.69,33.69,22090,3,1,2019
IMP,2019-03-19,34.08,34.08,33.43,34.02,16740,3,1,2019
IMP,2019-03-20,34.02,34.02,33.49,34.02,5380,3,1,2019
IMP,2019-03-21,34.02,34.02,33.36,33.69,18800,3,1,2019
IMP,2019-03-22,33.69,34.02,33.56,34.02,31240,3,1,2019
IMP,2019-03-25,33.69,33.69,33.17,33.49,6760,3,1,2019
IMP,2019-03-26,33.11,33.49,33.11,33.17,6440,3,1,2019
IMP,2019-03-27,32.91,33.75,32.71,33.75,21620,3,1,2019
IMP,2019-03-28,33.75,34.67,33.04,34.67,51930,3,1,2019
IMP,2019-03-29,35.45,35.45,34.54,34.67,33330,3,1,2019
IMP,2019-04-01,34.74,34.74,33.69,33.69,11300,4,2,2019
IMP,2019-04-02,33.75,34.08,33.69,33.69,7340,4,2,2019
IMP,2019-04-03,33.69,34.35,33.17,33.17,26020,4,2,2019
IMP,2019-04-04,33.17,33.24,33.17,33.24,820,4,2,2019
IMP,2019-04-05,33.24,33.36,33.17,33.17,20980,4,2,2019
IMP,2019-04-08,33.17,33.75,33.17,33.62,4120,4,2,2019
IMP,2019-04-09,34.02,34.02,33.24,33.24,8940,4,2,2019
IMP,2019-04-10,33.36,33.36,33.11,33.17,12810,4,2,2019
IMP,2019-04-11,33.17,33.49,33.17,33.49,2640,4,2,2019
IMP,2019-04-12,33.56,33.56,33.24,33.49,1560,4,2,2019
IMP,2019-04-16,33.49,33.49,33.17,33.24,160,4,2,2019
IMP,2019-04-17,33.04,33.56,32.71,33.56,13670,4,2,2019
IMP,2019-04-18,33.36,33.36,33.04,33.36,9720,4,2,2019
IMP,2019-04-19,33.36,33.36,33.04,33.36,6710,4,2,2019
IMP,2019-04-22,33.04,33.62,33.04,33.62,6860,4,2,2019
IMP,2019-04-23,33.62,33.69,33.62,33.69,8520,4,2,2019
IMP,2019-04-24,33.62,33.95,33.36,33.95,12650,4,2,2019
IMP,2019-04-25,33.95,33.95,33.36,33.95,12350,4,2,2019
IMP,2019-04-26,33.95,34.21,33.29,33.95,13490,4,2,2019
IMP,2019-05-02,33.95,33.95,33.43,33.43,1480,5,2,2019
IMP,2019-05-03,33.36,33.43,33.36,33.36,4610,5,2,2019
IMP,2019-05-06,32.78,33.04,32.78,33.04,7380,5,2,2019
IMP,2019-05-07,33.04,33.95,33.04,33.69,28900,5,2,2019
IMP,2019-05-08,33.62,34.35,33.04,34.35,40210,5,2,2019
IMP,2019-05-09,33.95,33.95,33.36,33.43,2450,5,2,2019
IMP,2019-05-10,33.36,34.28,33.24,34.28,580,5,2,2019
IMP,2019-05-13,34.61,34.61,33.29,33.29,4680,5,2,2019
IMP,2019-05-14,33.36,33.36,33.36,33.36,18220,5,2,2019
IMP,2019-05-15,33.36,33.36,33.29,33.36,5730,5,2,2019
IMP,2019-05-16,33.36,33.69,33.11,33.11,5480,5,2,2019
IMP,2019-05-17,33.11,33.11,33.11,33.11,2750,5,2,2019
IMP,2019-05-20,33.11,33.36,33.04,33.36,16240,5,2,2019
IMP,2019-05-21,33.62,33.69,32.91,33.04,6860,5,2,2019
IMP,2019-05-22,33.04,33.17,32.71,33.11,28700,5,2,2019
IMP,2019-05-23,33.11,33.69,32.71,33.69,29940,5,2,2019
IMP,2019-05-24,33.36,33.43,32.84,32.84,4290,5,2,2019
IMP,2019-05-27,33.04,33.69,33.04,33.69,17450,5,2,2019
IMP,2019-05-28,33.36,33.95,33.36,33.69,8780,5,2,2019
IMP,2019-05-29,33.17,33.56,32.98,33.56,22910,5,2,2019
IMP,2019-05-30,33.62,33.62,32.98,33.49,32200,5,2,2019
IMP,2019-05-31,33.43,33.69,33.36,33.62,14280,5,2,2019
IMP,2019-06-03,33.62,33.62,32.91,32.91,11560,6,2,2019
IMP,2019-06-04,33.49,33.49,32.91,32.91,8220,6,2,2019
IMP,2019-06-05,33.36,33.36,32.71,32.78,13670,6,2,2019
IMP,2019-06-06,32.78,32.78,32.45,32.65,11010,6,2,2019
IMP,2019-06-07,32.65,33.36,32.65,33.36,15250,6,2,2019
IMP,2019-06-10,33.36,33.36,32.84,33.29,4340,6,2,2019
IMP,2019-06-11,33.29,33.29,32.71,33.24,18250,6,2,2019
IMP,2019-06-12,33.17,33.24,32.65,32.71,51360,6,2,2019
IMP,2019-06-13,33.8,33.8,32.71,33.05,23730,6,2,2019
IMP,2019-06-14,33.05,33.26,33.05,33.26,6600,6,2,2019
IMP,2019-06-17,32.92,33.05,32.78,32.99,460,6,2,2019
IMP,2019-06-18,32.71,33.12,32.509,32.99,35150,6,2,2019
IMP,2019-06-19,32.65,33.12,32.65,32.65,5330,6,2,2019
IMP,2019-06-20,32.71,32.71,32.57,32.57,4450,6,2,2019
IMP,2019-06-21,32.57,32.71,32.369,32.71,8140,6,2,2019
IMP,2019-06-24,32.71,32.71,32.369,32.4,4210,6,2,2019
IMP,2019-06-25,32.369,32.369,32.03,32.03,5750,6,2,2019
IMP,2019-06-26,32.71,32.71,32.71,32.71,100,6,2,2019
IMP,2019-06-27,32.65,32.65,31.96,32.61,1600,6,2,2019
IMP,2019-06-28,32.509,32.57,32.03,32.229,3440,6,2,2019
IMP,2021-01-04,50.88,53.13,50.88,52.23,149500,1,1,2021
IMP,2021-01-05,52.5,52.5,52.05,52.05,51900,1,1,2021
IMP,2021-01-06,52.59,52.59,52.05,52.23,60000,1,1,2021
IMP,2021-01-07,52.5,52.5,51.78,52.14,42500,1,1,2021
IMP,2021-01-08,52.14,52.5,52.14,52.14,45800,1,1,2021
IMP,2021-01-11,52.14,52.59,51.78,52.23,42800,1,1,2021
IMP,2021-01-12,52.68,54.03,52.5,53.58,74300,1,1,2021
IMP,2021-01-13,53.85,53.85,52.68,52.77,35800,1,1,2021
IMP,2021-01-14,52.77,52.86,50.61,52.86,98800,1,1,2021
IMP,2021-01-15,52.86,53.13,52.32,52.41,19700,1,1,2021
IMP,2021-01-18,52.95,52.95,51.78,51.78,59400,1,1,2021
IMP,2021-01-19,51.78,51.87,48.72,49.52,63900,1,1,2021
IMP,2021-01-20,49.52,50.34,49.07,49.71,53800,1,1,2021
IMP,2021-01-21,51.33,51.33,49.52,50.25,44400,1,1,2021
IMP,2021-01-22,51.05,51.33,50.34,50.97,41200,1,1,2021
IMP,2021-01-25,51.33,51.87,50.07,51.78,38300,1,1,2021
IMP,2021-01-26,52.68,53.58,50.43,52.68,119000,1,1,2021
